Alabama,62.1
Alaska,51.3
Arizona,48.7
Arkansas,60.6
California,32.9
Colorado,43.3
Connecticut,40.9
Delaware,41.9
Florida,49
Georgia,51.1
Hawaii,29.4
Idaho,59.2
Illinois,38.8
Indiana,56.8
Iowa,51.2
Kansas,56.6
Kentucky,62.5
Louisiana,58.1
Maine,45.2
Maryland,34.8
Massachusetts,33.5
Michigan,47.6
Minnesota,44.9
Mississippi,58.3
Missouri,56.9
Montana,56.5
Nebraska,58.9
Nevada,45.5
New Hampshire,46.6
New Jersey,41.0
New Mexico,40
New York,36.8
North Carolina,49.8
North Dakota,63
Ohio,51.7
Oklahoma,65.3
Oregon,39.1
Pennsylvania,48.6
Rhode Island,39.5
South Carolina,54.9
South Dakota,61.5
Tennessee,61.1
Texas,52.2
Utah,45.5
Vermont,29.8
Virginia,44.4
Washington,38
West Virginia,68.6
Wisconsin,47.2
Wyoming,68.2